name,ra,dec,vmag
,87.8304001160,-20.8790918488,3.8500
,125.6286496000,-59.5095554000,3.8500
,248.3628438139,-78.8971481686,3.8540
,189.4256837492,-48.5413053593,3.8600
,63.5004759276,-42.2943685431,3.8600
,86.8211987088,-51.0665114264,3.8600
,239.2211550002,-29.2140744436,3.8600
,2.3526670558,-45.7474239082,3.8700
,14.1883711465,38.4993342716,3.8700
Maia,56.4567006452,24.3677437683,3.8700
,158.2027932954,9.3065848167,3.8700
Azha,44.1068718466,-8.8981434724,3.8700
,82.8031145016,-35.4705066018,3.8700
Sceptrum,69.5450984044,-14.3040278967,3.8700
,103.5331344588,-24.1842109726,3.8700
,209.6697861879,-44.8035858242,3.8700
,244.9351533251,46.3133617043,3.8700
,347.5897011042,-45.2467094690,3.8770
,202.7610691462,-39.4073052756,3.8800
,299.0765493222,35.0834228855,3.8800
Mizar B,200.9846746374,54.9218093821,3.8800
Rasalas,148.1909042236,26.0069511861,3.8800
,188.1167205254,-72.1329897894,3.8800
,220.7650999448,-5.6582013768,3.8800
,269.0632540614,37.2505366667,3.8800
,60.7890797763,5.9893007020,3.8830
,102.4602463019,-32.5084788391,3.8900
,188.3705971536,69.7882388589,3.8900
,69.5451042542,-14.3039831528,3.8900
,226.2801456763,-47.0510636023,3.8900
Zaniah,184.9764266592,-0.6667961981,3.9000
,126.4151327714,-3.9064272187,3.9000
Marfik,247.7284297461,1.9839224782,3.9000
,167.9166700000,-60.3097200000,3.9000
,187.0099254827,-50.2306379745,3.9100
,131.5068514199,-46.0415281698,3.9100
,233.8815753993,-14.7895355318,3.9100
,142.6746906604,-40.4668308299,3.9100
,99.1709903285,-19.2558804035,3.9100
,144.9640061344,-1.1428107315,3.9100
Atik,56.0797240367,32.2882464911,3.9100
Tyl,297.0431269125,70.2679302982,3.9100
,139.7110149130,36.8025958568,3.9200
,255.0723889948,30.9264042261,3.9200
,69.0797579939,-3.3524604847,3.9280
,115.9519567277,-28.9548262103,3.9300
,115.3117998894,-9.5511327131,3.9300
,270.1613157888,2.9315648341,3.9300
,290.4181660991,-17.8471985852,3.9300
,341.6328246250,23.5656560997,3.9300
Kitalpha,318.9559881969,5.2478919524,3.9330
,22.8129337261,-49.0727028135,3.9350
,30.8587851665,72.4212941155,3.9380
,300.1481313763,-72.9105035988,3.9400
,6.5508389318,-43.6798306587,3.9400
Asellus Australis,131.1712465877,18.1543080691,3.9400
,314.2934113771,41.1671309522,3.9400
,137.8196750632,-62.3169777341,3.9430
Rukbat,290.9715641606,-40.6159372027,3.9430
,115.4552459681,-72.6060991145,3.9440
,237.7397722634,-33.6271467626,3.9460
,87.8723727421,39.1485239126,3.9500
,210.9554578333,-60.3731830056,3.9500
,130.0255970123,-35.3083551148,3.9540
,135.1603059045,41.7830245591,3.9600
,43.5644905035,52.7624674265,3.9600
,66.0091930599,-34.0168495118,3.9600
,93.7138883901,-6.2747767787,3.9600
,89.7866878693,-42.8151323102,3.9600
,182.9129989499,-52.3684401167,3.9600
,241.7017707779,-20.6691888518,3.9700
,337.3173914748,-43.4955615954,3.9700
,349.3573185226,-58.2357013762,3.9800
,48.0188741833,-28.9876219868,3.9800
,342.3979207511,-13.5926285439,3.9800
,303.8680175512,47.7142260924,3.9800
,350.7426076280,-20.1005820889,3.9800
,135.6116501830,-66.3960745650,3.9900
,109.2075914542,-67.9571526786,3.9900
,220.4899606046,-37.7934945001,4.0000
,283.8337597401,43.9460895805,4.0000
Jabbah,242.9988986496,-19.4607044785,4.0000
,240.4722707483,58.5652505378,4.0000
,191.5705970642,-68.1078754094,4.0000
,71.3756309505,-3.2546598113,4.0000
,16.5212303125,-46.7184986861,4.0000
,34.3286136390,33.8471968182,4.0000
,280.7589013965,-71.4281156105,4.0030
,156.0987730314,-74.0316110835,4.0100
,307.3488980559,30.3685552923,4.0100
,170.9810551329,10.5295062520,4.0100
Alcor,201.3064076387,54.9879596614,4.0100
,132.6330108332,-27.7098415925,4.0100
Arkab Prior,290.6595800498,-44.4589583847,4.0100
Alchiba,182.1034053184,-24.7288755967,4.0100
,17.0961691015,-55.2457600044,4.0140
,131.6742518186,28.7598931360,4.0180
,244.9600929500,-50.1555059974,4.0200
,30.0012852967,-21.0778316695,4.0200
,75.8545461125,60.4422455370,4.0200
,184.3928151841,-67.9607368118,4.0200
,323.4952210209,45.5918389043,4.0200
,284.9056515780,15.0682810415,4.0200
,285.4201202952,-5.7390895048,4.0200
Beid,62.9664127013,-6.8375796243,4.0260
,62.1653898733,47.7125105576,4.0300
,271.3636882695,2.5000988300,4.0300
,308.3032202663,11.3032663874,4.0300
,338.8390890307,-0.1174974066,4.0300
,215.1393016499,-37.8852920646,4.0340
,193.6484344215,-57.1779246991,4.0400
,170.2841407467,6.0293216702,4.0400
,176.4648316583,6.5293747212,4.0400
,220.9143232280,-35.1736685767,4.0400
,131.0997794756,-42.6492774576,4.0460
,124.6314686166,-76.9197240615,4.0470
,219.4717756698,-49.4258282867,4.0500
,216.2991539590,51.8507436734,4.0500
,184.6093419771,-64.0030853698,4.0500
,254.8960338188,-53.1604378689,4.0500
,227.2108868772,-45.2798613832,4.0500
,235.6857056083,26.2956343806,4.0500
,229.3785393836,-58.8012070186,4.0570
,113.9806250590,26.8957444986,4.0600
Menkhib,59.7412601259,35.7910304210,4.0600
,11.8346904952,24.2671785505,4.0600
,74.0928165303,13.5144687843,4.0600
,25.9151582048,50.6887314236,4.0600
,171.2205150667,-17.6840118790,4.0600
Alkes,164.9436048158,-18.2987862206,4.0700
,316.4867853131,-17.2328628374,4.0700
,207.3693386958,15.7979046443,4.0700
,39.8706535308,0.3285086654,4.0700
,103.5474952554,-12.0386281010,4.0800
Syrma,214.0036178170,-6.0005470787,4.0800
Herschel's Garnet Star,325.8769148161,58.7800460937,4.0800
,170.2516858042,-54.4910235611,4.0800
,287.3680896457,-37.9044744001,4.0870
,35.4372598551,-68.6594185896,4.0900
,143.6110450612,-59.2297519531,4.0900
47 Tuc Cluster,6.0223291667,-72.0814444444,4.0900
,45.5979139968,-23.6244717235,4.0900
,84.2266190536,9.2906712530,4.0900
Gudja,237.1849050094,18.1415649080,4.0900
,320.5216645641,19.8045104219,4.0900
,16.5210321208,-46.7184040028,4.0900
,287.5073196896,-39.3407926855,4.0950
,39.8973401976,-68.2669466847,4.0960
Titawin,24.1993397683,41.4054587133,4.1000
,52.7182399031,12.9366696398,4.1000
,176.6284285026,-61.1783996120,4.1000
,234.1800951798,-66.3170376255,4.1040
